id,title,description,category,color,price,currency,discount_percent,created_at,size_available
1,Slim Fit Stretch Jeans,"Classic slim fit jeans with added stretch for comfort.  Perfect for everyday wear, these jeans offer a modern silhouette and excellent flexibility.",jeans,blue,2499,BDT,0,2024-11-10T14:25:00Z,28|30|32|34
2,Floral Print Maxi Dress,"Elegant maxi dress with a vibrant floral print. Perfect for summer occasions, garden parties, or evening events.  Features a flowing design and comfortable fabric.",dress,multi,1899,BDT,20,2025-03-05T09:10:00Z,S|M|L
3,Crew Neck Cotton T-Shirt,"Soft and breathable cotton t-shirt. Available in multiple colors, this wardrobe staple is perfect for casual wear and layering. Made from 100% premium cotton.",tshirt,navy,899,BDT,10,2024-12-18T11:55:00Z,S|M|L|XL
4,Button-Down Oxford Shirt,Classic button-down oxford shirt for a sharp look.  Ideal for both formal and smart-casual occasions.  Features a tailored fit and durable construction.,shirt,white,1699,BDT,0,2025-01-22T16:40:00Z,S|M|L|XL
5,High-Waisted Leggings,"Comfortable and flattering high-waisted leggings.  These leggings provide support and a smooth silhouette, suitable for workouts or everyday wear.  Made with a blend of spandex and cotton.",leggings,black,950,BDT,0,2025-02-15T10:05:00Z,S|M|L
6,Denim Jacket,"Versatile denim jacket with a classic fit.  This jacket is a timeless piece that can be dressed up or down. Features button closure, chest pockets, and adjustable cuffs.",jacket,blue,2799,BDT,15,2024-10-28T17:30:00Z,S|M|L|XL
7,Printed Scarf,"Lightweight and stylish printed scarf.  Adds a touch of elegance to any outfit.  Available in a variety of prints and colors, made from soft, flowing fabric.",accessory,red|floral,550,BDT,5,2025-03-12T08:00:00Z,ONESIZE
8,A-Line Skirt,Flattering A-line skirt in a variety of colors. This skirt creates a feminine silhouette and is perfect for both casual and dressy occasions.  Features a side zipper closure.,skirt,black,1299,BDT,18,2025-02-20T13:20:00Z,S|M|L
9,Graphic Hoodie,"Comfortable hoodie with a bold graphic print.  Perfect for casual wear, this hoodie features a drawstring hood, kangaroo pocket, and ribbed cuffs and hem.  The graphic print is durable and eye-catching.",hoodie,grey,1950,BDT,0,2025-04-01T15:50:00Z,S|M|L|XL
10,V-Neck Sweater,"Soft and cozy v-neck sweater, perfect for layering.  Made from fine-knit material, this sweater is both comfortable and stylish.  Available in a range of solid colors.",sweater,charcoal,2100,BDT,12,2024-11-25T12:15:00Z,S|M|L
11,Straight Leg Chinos,Versatile straight leg chino pants for a smart-casual look.  These pants offer a comfortable fit and can be dressed up or down.  Feature a button closure and belt loops.,pants,beige,1850,BDT,0,2025-01-08T14:00:00Z,30|32|34|36
12,Sleeveless Sundress,"Light and airy sleeveless sundress for warm weather.  Perfect for picnics, brunches, or vacations.  Features a flowing design and is made from breathable fabric.",dress,yellow,1599,BDT,25,2025-03-18T11:45:00Z,S|M|L
13,Long Sleeve Henley Shirt,Casual long sleeve henley shirt with a button placket.  This shirt offers a relaxed fit and is perfect for layering.  Made from soft cotton fabric.,shirt,navy,1750,BDT,0,2024-12-01T09:30:00Z,S|M|L|XL
14,Cropped Yoga Leggings,"Comfortable cropped leggings, ideal for yoga or workouts.  These leggings offer flexibility and support, and are made from moisture-wicking fabric.  Feature a wide waistband.",leggings,grey,890,BDT,10,2025-02-22T17:10:00Z,S|M|L
15,Mini Denim Skirt,Casual and stylish denim mini skirt.  This skirt is a versatile piece that can be paired with various tops.  Features a classic denim look with a button closure.,skirt,blue,1199,BDT,22,2025-04-08T10:20:00Z,XS|S|M
16,Pullover Knit Sweater,"Warm and comfortable pullover knit sweater.  Perfect for cooler weather, this sweater is made from soft knit material.  Available in various colors and styles.",sweater,olive,2300,BDT,5,2024-10-31T18:00:00Z,S|M|L
17,Beanie with Pom Pom,"Cute and warm beanie hat with a pom pom.  This beanie is perfect for winter wear and adds a playful touch to any outfit.  Made from soft, knitted material.",accessory,pink,400,BDT,0,2025-03-22T12:30:00Z,ONESIZE
18,Cargo Shorts,Durable and practical cargo shorts with multiple pockets.  These shorts are perfect for outdoor activities or casual wear.  Feature a relaxed fit and sturdy construction.,shorts,khaki,1450,BDT,10,2025-02-18T07:45:00Z,30|32|34
19,Zip-Up Fleece Hoodie,"Cozy zip-up fleece hoodie, perfect for layering.  This hoodie is made from soft fleece material and features a zip-up front, drawstring hood, and split kangaroo pockets.",hoodie,navy,2200,BDT,18,2025-04-22T14:55:00Z,S|M|L|XL
20,Henley Neck T-Shirt,"Casual henley neck t-shirt with a relaxed fit.  This shirt offers a comfortable and stylish look.  Made from soft, breathable cotton.",tshirt,burgundy,950,BDT,0,2024-11-08T16:10:00Z,M|L|XL
21,Wide Leg Trousers,"Trendy and comfortable wide leg trousers.  These trousers offer a flowy and relaxed fit, perfect for both casual and dressy occasions.  Feature a high waist and wide leg opening.",pants,black,1800,BDT,25,2025-01-28T11:30:00Z,S|M|L
22,Off-Shoulder Top,Stylish off-shoulder top for a chic look.  This top features an elasticized off-shoulder neckline and can be dressed up or down.  Made from lightweight fabric.,top,white,1450,BDT,12,2025-03-08T10:00:00Z,S|M
23,Plaid Flannel Shirt,"Classic plaid flannel shirt, great for casual wear.  This shirt is made from soft flannel fabric and features a button-up front, long sleeves, and a relaxed fit.  Perfect for layering.",shirt,green|black,1600,BDT,0,2024-12-12T13:45:00Z,S|M|L|XL
24,Capri Leggings,"Versatile capri-length leggings for active wear.  These leggings offer support and flexibility, and are perfect for workouts or everyday wear.  Made from moisture-wicking fabric.",leggings,blue,850,BDT,20,2025-02-03T09:00:00Z,S|M|L
25,Midi Skirt,"Elegant midi skirt, suitable for various occasions.  This skirt features a classic midi length and can be dressed up or down.  Available in a variety of colors and fabrics.",skirt,navy,1250,BDT,15,2025-04-12T15:15:00Z,XS|S|M|L
